epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.272,1.52073,3.8609,1.25913,0.01759,0.55713,0.06023,0.03243,1.49368,3.94269,1.12238,0.00024543,0.00024543,0.00024543
2,452.476,1.58668,3.05041,1.26598,0.01274,0.58895,0.11337,0.06103,1.60944,3.53998,1.26162,0.000490051,0.000490051,0.000490051
3,676.005,1.60194,2.46351,1.28967,0.61299,0.0791,0.1898,0.09278,1.68664,3.05601,1.32278,0.000724593,0.000724593,0.000724593
4,892.807,1.63558,2.22223,1.29204,0.29015,0.26816,0.2613,0.13431,1.65429,2.71163,1.34111,0.000855005,0.000855005,0.000855005
5,1123.7,1.60266,2.05384,1.28604,0.34464,0.39273,0.34954,0.18589,1.62198,2.22255,1.3515,0.000837007,0.000837007,0.000837007
6,1349.08,1.58318,1.87786,1.27171,0.56485,0.42607,0.4494,0.23695,1.61491,2.0916,1.35035,0.000819009,0.000819009,0.000819009
7,1577.47,1.5719,1.79575,1.24641,0.58829,0.44971,0.48001,0.26973,1.59085,2.1091,1.31462,0.000801011,0.000801011,0.000801011
8,1816.58,1.53524,1.75277,1.26021,0.47709,0.44769,0.42903,0.2327,1.59235,1.91263,1.36862,0.000783013,0.000783013,0.000783013
9,2052.53,1.5227,1.67805,1.24013,0.49856,0.52956,0.50298,0.2829,1.55848,1.79133,1.29432,0.000765014,0.000765014,0.000765014
10,2269.18,1.49861,1.66359,1.23212,0.54163,0.55549,0.53368,0.30297,1.55953,1.78377,1.28521,0.000747016,0.000747016,0.000747016
11,2489.25,1.50118,1.599,1.22497,0.64857,0.5342,0.5683,0.30846,1.52255,1.61595,1.26788,0.000729018,0.000729018,0.000729018
12,2710.15,1.47466,1.51094,1.21885,0.70067,0.55114,0.61107,0.34646,1.52717,1.58394,1.26187,0.00071102,0.00071102,0.00071102
13,2937.79,1.44189,1.48244,1.1936,0.63956,0.55867,0.58888,0.34339,1.52286,1.60163,1.26924,0.000693022,0.000693022,0.000693022
14,3164.4,1.41778,1.44881,1.18582,0.67126,0.58647,0.65171,0.36191,1.51371,1.66768,1.28615,0.000675023,0.000675023,0.000675023
